
#2021-08-31	16:00:28
#step 0
#TID 0.000000E+0

$$ Measurements for
pMOS_SLVt_5.0x6.0		P	W=	5	L=	6


ID_VG

ID

VG	VD=-20.000E-3	VD=-1.200E+0	
-360.000000E-3	N	-71.93626E-12	N	-31.71124E-12
-380.000000E-3	N	-89.76167E-12	N	-45.51500E-12
-400.000000E-3	N	-109.5052E-12	N	-60.99001E-12
-420.000000E-3	N	-132.9297E-12	N	-79.86472E-12
-440.000000E-3	N	-157.4538E-12	N	-99.91885E-12
-460.000000E-3	N	-187.4301E-12	N	-122.6340E-12
-480.000000E-3	N	-220.0128E-12	N	-148.6481E-12
-500.000000E-3	N	-258.0140E-12	N	-176.6139E-12
-520.000000E-3	N	-299.8012E-12	N	-209.4863E-12
-540.000000E-3	N	-347.0740E-12	N	-243.6765E-12
-560.000000E-3	N	-399.4129E-12	N	-283.3021E-12
-580.000000E-3	N	-456.8177E-12	N	-327.1626E-12
-600.000000E-3	N	-520.8667E-12	N	-374.3095E-12
-620.000000E-3	N	-590.9135E-12	N	-426.5392E-12
-640.000000E-3	N	-668.3346E-12	N	-483.8686E-12
-660.000000E-3	N	-754.4440E-12	N	-546.8472E-12
-680.000000E-3	N	-846.5637E-12	N	-614.3672E-12
-700.000000E-3	N	-945.6381E-12	N	-689.2953E-12
-720.000000E-3	N	-1.055495E-09	N	-768.6934E-12
-740.000000E-3	N	-1.175753E-09	N	-854.5300E-12
-760.000000E-3	N	-1.304338E-09	N	-946.7545E-12
-780.000000E-3	N	-1.443428E-09	N	-1.048070E-09
-800.000000E-3	N	-1.593385E-09	N	-1.156286E-09
-820.000000E-3	N	-1.753889E-09	N	-1.271969E-09
-840.000000E-3	N	-1.927199E-09	N	-1.396608E-09
-860.000000E-3	N	-2.111040E-09	N	-1.530314E-09
-880.000000E-3	N	-2.308773E-09	N	-1.669308E-09
-900.000000E-3	N	-2.519543E-09	N	-1.821279E-09
-920.000000E-3	N	-2.742174E-09	N	-1.981297E-09
-940.000000E-3	N	-2.981442E-09	N	-2.150686E-09
-960.000000E-3	N	-3.235754E-09	N	-2.329671E-09
-980.000000E-3	N	-3.503832E-09	N	-2.523732E-09
-1.000000E+0	N	-3.789073E-09	N	-2.723073E-09
-1.020000E+0	N	-4.088512E-09	N	-2.936419E-09
-1.040000E+0	N	-4.409621E-09	N	-3.161594E-09
-1.060000E+0	N	-4.739654E-09	N	-3.399045E-09
-1.080000E+0	N	-5.095676E-09	N	-3.647498E-09
-1.100000E+0	N	-5.463403E-09	N	-3.908705E-09
-1.120000E+0	N	-5.854900E-09	N	-4.184091E-09
-1.140000E+0	N	-6.258186E-09	N	-4.469948E-09
-1.160000E+0	N	-6.688694E-09	N	-4.771457E-09
-1.180000E+0	N	-7.135061E-09	N	-5.087524E-09
-1.200000E+0	N	-7.607617E-09	N	-5.417860E-09


IS

VG	VD=-20.000E-3	VD=-1.200E+0	
200.000000E-3	N	-13.12867E-12	N	 2.201923E-12
180.000000E-3	N	-8.399284E-12	N	 6.263480E-12
160.000000E-3	N	-4.047919E-12	N	 9.863017E-12
140.000000E-3	N	 1.571899E-12	N	 15.42403E-12
120.000000E-3	N	 9.161592E-12	N	 27.22648E-12
100.000000E-3	N	 23.24053E-12	N	 47.92069E-12
80.000000E-3	N	 44.74117E-12	N	 91.78298E-12
60.000000E-3	N	 87.65841E-12	N	 176.8951E-12
40.000000E-3	N	 168.4821E-12	N	 345.7416E-12
20.000000E-3	N	 328.6217E-12	N	 679.3437E-12
0.000000E+0	N	 643.9363E-12	N	 1.339345E-09
-20.000000E-3	N	 1.262519E-09	N	 2.636161E-09
-40.000000E-3	N	 2.438120E-09	N	 5.151710E-09
-60.000000E-3	N	 4.614278E-09	N	 9.923178E-09
-80.000000E-3	N	 8.448262E-09	N	 18.72544E-09
-100.000000E-3	N	 14.88426E-09	N	 34.13826E-09
-120.000000E-3	N	 24.75397E-09	N	 59.70825E-09
-140.000000E-3	N	 38.84887E-09	N	 99.53779E-09
-160.000000E-3	N	 57.52468E-09	N	 157.9846E-09
-180.000000E-3	N	 80.56517E-09	N	 238.4941E-09
-200.000000E-3	N	 107.5587E-09	N	 344.2999E-09
-220.000000E-3	N	 137.4796E-09	N	 477.5615E-09
-240.000000E-3	N	 169.7123E-09	N	 640.3890E-09
-260.000000E-3	N	 203.4656E-09	N	 833.4846E-09
-280.000000E-3	N	 238.2980E-09	N	 1.058810E-06
-300.000000E-3	N	 273.6187E-09	N	 1.314108E-06
-320.000000E-3	N	 309.3164E-09	N	 1.601079E-06
-340.000000E-3	N	 345.0358E-09	N	 1.919152E-06
-360.000000E-3	N	 380.5887E-09	N	 2.268890E-06
-380.000000E-3	N	 415.8763E-09	N	 2.649889E-06
-400.000000E-3	N	 450.8045E-09	N	 3.061072E-06
-420.000000E-3	N	 485.4704E-09	N	 3.503618E-06
-440.000000E-3	N	 519.5800E-09	N	 3.976621E-06
-460.000000E-3	N	 553.3846E-09	N	 4.479317E-06
-480.000000E-3	N	 586.4194E-09	N	 5.010858E-06
-500.000000E-3	N	 619.0131E-09	N	 5.571276E-06
-520.000000E-3	N	 651.3427E-09	N	 6.160044E-06
-540.000000E-3	N	 682.7830E-09	N	 6.776405E-06
-560.000000E-3	N	 713.7137E-09	N	 7.418986E-06
-580.000000E-3	N	 744.4254E-09	N	 8.088017E-06
-600.000000E-3	N	 774.3445E-09	N	 8.783265E-06
-620.000000E-3	N	 803.5173E-09	N	 9.503632E-06
-640.000000E-3	N	 832.3312E-09	N	 10.26191E-06
-660.000000E-3	N	 860.7353E-09	N	 11.03215E-06
-680.000000E-3	N	 888.6435E-09	N	 11.82555E-06
-700.000000E-3	N	 915.8340E-09	N	 12.64532E-06
-720.000000E-3	N	 942.6130E-09	N	 13.48610E-06
-740.000000E-3	N	 969.1373E-09	N	 14.35111E-06
-760.000000E-3	N	 994.6331E-09	N	 15.23696E-06
-780.000000E-3	N	 1.026341E-06	N	 16.14523E-06
-800.000000E-3	N	 1.051494E-06	N	 17.07380E-06
-820.000000E-3	N	 1.075629E-06	N	 18.02449E-06
-840.000000E-3	N	 1.099991E-06	N	 18.99356E-06
-860.000000E-3	N	 1.123608E-06	N	 19.98225E-06
-880.000000E-3	N	 1.146687E-06	N	 20.99066E-06
-900.000000E-3	N	 1.169253E-06	N	 22.01787E-06
-920.000000E-3	N	 1.191633E-06	N	 23.06312E-06
-940.000000E-3	N	 1.213618E-06	N	 24.12610E-06
-960.000000E-3	N	 1.235208E-06	N	 25.20814E-06
-980.000000E-3	N	 1.256490E-06	N	 26.30867E-06
-1.000000E+0	N	 1.277012E-06	N	 27.42409E-06
-1.020000E+0	N	 1.297125E-06	N	 28.55808E-06
-1.040000E+0	N	 1.317044E-06	N	 29.70390E-06
-1.060000E+0	N	 1.336728E-06	N	 30.87010E-06
-1.080000E+0	N	 1.355920E-06	N	 32.04967E-06
-1.100000E+0	N	 1.374922E-06	N	 33.24442E-06
-1.120000E+0	N	 1.393222E-06	N	 34.45242E-06
-1.140000E+0	N	 1.411699E-06	N	 35.67395E-06
-1.160000E+0	N	 1.429372E-06	N	 36.90965E-06
-1.180000E+0	N	 1.446881E-06	N	 38.15965E-06
-1.200000E+0	N	 1.464272E-06	N	 39.42142E-06


INW

VG	VD=-20.000E-3	VD=-1.200E+0	
200.000000E-3	N	 1.231224E-06	N	 1.253793E-06
180.000000E-3	N	 1.232473E-06	N	 1.254084E-06
160.000000E-3	N	 1.233470E-06	N	 1.254428E-06
140.000000E-3	N	 1.234630E-06	N	 1.254870E-06
120.000000E-3	N	 1.235590E-06	N	 1.255173E-06
100.000000E-3	N	 1.236519E-06	N	 1.255749E-06
80.000000E-3	N	 1.237285E-06	N	 1.255610E-06
60.000000E-3	N	 1.238302E-06	N	 1.255795E-06
40.000000E-3	N	 1.239156E-06	N	 1.255875E-06
20.000000E-3	N	 1.239354E-06	N	 1.255858E-06
0.000000E+0	N	 1.239636E-06	N	 1.256548E-06
-20.000000E-3	N	 1.240376E-06	N	 1.256418E-06
-40.000000E-3	N	 1.240616E-06	N	 1.256729E-06
-60.000000E-3	N	 1.240687E-06	N	 1.256885E-06
-80.000000E-3	N	 1.240923E-06	N	 1.257629E-06
-100.000000E-3	N	 1.242084E-06	N	 1.257520E-06
-120.000000E-3	N	 1.242100E-06	N	 1.257831E-06
-140.000000E-3	N	 1.242374E-06	N	 1.257835E-06
-160.000000E-3	N	 1.242630E-06	N	 1.257970E-06
-180.000000E-3	N	 1.242954E-06	N	 1.258222E-06
-200.000000E-3	N	 1.243442E-06	N	 1.258121E-06
-220.000000E-3	N	 1.243720E-06	N	 1.258016E-06
-240.000000E-3	N	 1.243943E-06	N	 1.258147E-06
-260.000000E-3	N	 1.244174E-06	N	 1.258500E-06
-280.000000E-3	N	 1.244376E-06	N	 1.259047E-06
-300.000000E-3	N	 1.244653E-06	N	 1.259307E-06
-320.000000E-3	N	 1.244662E-06	N	 1.259652E-06
-340.000000E-3	N	 1.244826E-06	N	 1.259682E-06
-360.000000E-3	N	 1.245032E-06	N	 1.259682E-06
-380.000000E-3	N	 1.245226E-06	N	 1.260052E-06
-400.000000E-3	N	 1.245419E-06	N	 1.259938E-06
-420.000000E-3	N	 1.245516E-06	N	 1.260224E-06
-440.000000E-3	N	 1.245671E-06	N	 1.260191E-06
-460.000000E-3	N	 1.246126E-06	N	 1.260085E-06
-480.000000E-3	N	 1.246386E-06	N	 1.260178E-06
-500.000000E-3	N	 1.246572E-06	N	 1.260586E-06
-520.000000E-3	N	 1.246769E-06	N	 1.260544E-06
-540.000000E-3	N	 1.246917E-06	N	 1.260531E-06
-560.000000E-3	N	 1.247030E-06	N	 1.260674E-06
-580.000000E-3	N	 1.247505E-06	N	 1.260977E-06
-600.000000E-3	N	 1.247673E-06	N	 1.261099E-06
-620.000000E-3	N	 1.247707E-06	N	 1.261246E-06
-640.000000E-3	N	 1.247947E-06	N	 1.261659E-06
-660.000000E-3	N	 1.248149E-06	N	 1.261890E-06
-680.000000E-3	N	 1.248174E-06	N	 1.261932E-06
-700.000000E-3	N	 1.248367E-06	N	 1.262121E-06
-720.000000E-3	N	 1.248590E-06	N	 1.261919E-06
-740.000000E-3	N	 1.248763E-06	N	 1.262138E-06
-760.000000E-3	N	 1.249082E-06	N	 1.262340E-06
-780.000000E-3	N	 1.249558E-06	N	 1.262529E-06
-800.000000E-3	N	 1.249697E-06	N	 1.262639E-06
-820.000000E-3	N	 1.249865E-06	N	 1.262588E-06
-840.000000E-3	N	 1.250046E-06	N	 1.262672E-06
-860.000000E-3	N	 1.250046E-06	N	 1.262500E-06
-880.000000E-3	N	 1.250290E-06	N	 1.262710E-06
-900.000000E-3	N	 1.250420E-06	N	 1.262752E-06
-920.000000E-3	N	 1.250635E-06	N	 1.262967E-06
-940.000000E-3	N	 1.250727E-06	N	 1.263076E-06
-960.000000E-3	N	 1.251064E-06	N	 1.263215E-06
-980.000000E-3	N	 1.251152E-06	N	 1.263396E-06
-1.000000E+0	N	 1.251282E-06	N	 1.263644E-06
-1.020000E+0	N	 1.251467E-06	N	 1.263724E-06
-1.040000E+0	N	 1.251379E-06	N	 1.263825E-06
-1.060000E+0	N	 1.251451E-06	N	 1.263854E-06
-1.080000E+0	N	 1.251737E-06	N	 1.263774E-06
-1.100000E+0	N	 1.251770E-06	N	 1.263942E-06
-1.120000E+0	N	 1.251854E-06	N	 1.264241E-06
-1.140000E+0	N	 1.251951E-06	N	 1.264090E-06
-1.160000E+0	N	 1.251976E-06	N	 1.264367E-06
-1.180000E+0	N	 1.252140E-06	N	 1.264426E-06
-1.200000E+0	N	 1.252271E-06	N	 1.264515E-06


IPW

VG	VD=-20.000E-3	VD=-1.200E+0	
200.000000E-3	N	-1.230290E-06	N	-1.252779E-06
180.000000E-3	N	-1.231560E-06	N	-1.253066E-06
160.000000E-3	N	-1.232582E-06	N	-1.253423E-06
140.000000E-3	N	-1.233743E-06	N	-1.253823E-06
120.000000E-3	N	-1.234723E-06	N	-1.254226E-06
100.000000E-3	N	-1.235707E-06	N	-1.254752E-06
80.000000E-3	N	-1.236439E-06	N	-1.254630E-06
60.000000E-3	N	-1.237432E-06	N	-1.254828E-06
40.000000E-3	N	-1.238328E-06	N	-1.254849E-06
20.000000E-3	N	-1.238496E-06	N	-1.254912E-06
0.000000E+0	N	-1.238807E-06	N	-1.255551E-06
-20.000000E-3	N	-1.239388E-06	N	-1.255535E-06
-40.000000E-3	N	-1.239850E-06	N	-1.255749E-06
-60.000000E-3	N	-1.239838E-06	N	-1.255955E-06
-80.000000E-3	N	-1.240094E-06	N	-1.256632E-06
-100.000000E-3	N	-1.241104E-06	N	-1.256527E-06
-120.000000E-3	N	-1.241184E-06	N	-1.256746E-06
-140.000000E-3	N	-1.241533E-06	N	-1.256801E-06
-160.000000E-3	N	-1.241676E-06	N	-1.256952E-06
-180.000000E-3	N	-1.242046E-06	N	-1.257251E-06
-200.000000E-3	N	-1.242534E-06	N	-1.257158E-06
-220.000000E-3	N	-1.242862E-06	N	-1.257036E-06
-240.000000E-3	N	-1.243101E-06	N	-1.257154E-06
-260.000000E-3	N	-1.243190E-06	N	-1.257457E-06
-280.000000E-3	N	-1.243396E-06	N	-1.258117E-06
-300.000000E-3	N	-1.243640E-06	N	-1.258319E-06
-320.000000E-3	N	-1.243753E-06	N	-1.258672E-06
-340.000000E-3	N	-1.243938E-06	N	-1.258702E-06
-360.000000E-3	N	-1.244111E-06	N	-1.258693E-06
-380.000000E-3	N	-1.244359E-06	N	-1.258983E-06
-400.000000E-3	N	-1.244586E-06	N	-1.259013E-06
-420.000000E-3	N	-1.244628E-06	N	-1.259236E-06
-440.000000E-3	N	-1.244696E-06	N	-1.259215E-06
-460.000000E-3	N	-1.245259E-06	N	-1.259240E-06
-480.000000E-3	N	-1.245503E-06	N	-1.259156E-06
-500.000000E-3	N	-1.245663E-06	N	-1.259644E-06
-520.000000E-3	N	-1.245911E-06	N	-1.259534E-06
-540.000000E-3	N	-1.246104E-06	N	-1.259547E-06
-560.000000E-3	N	-1.246193E-06	N	-1.259623E-06
-580.000000E-3	N	-1.246660E-06	N	-1.259905E-06
-600.000000E-3	N	-1.246757E-06	N	-1.260043E-06
-620.000000E-3	N	-1.246832E-06	N	-1.260329E-06
-640.000000E-3	N	-1.247068E-06	N	-1.260556E-06
-660.000000E-3	N	-1.247185E-06	N	-1.260838E-06
-680.000000E-3	N	-1.247286E-06	N	-1.260969E-06
-700.000000E-3	N	-1.247480E-06	N	-1.261141E-06
-720.000000E-3	N	-1.247665E-06	N	-1.260918E-06
-740.000000E-3	N	-1.247896E-06	N	-1.261124E-06
-760.000000E-3	N	-1.248107E-06	N	-1.261406E-06
-780.000000E-3	N	-1.248607E-06	N	-1.261520E-06
-800.000000E-3	N	-1.248704E-06	N	-1.261566E-06
-820.000000E-3	N	-1.248910E-06	N	-1.261520E-06
-840.000000E-3	N	-1.249061E-06	N	-1.261684E-06
-860.000000E-3	N	-1.249082E-06	N	-1.261486E-06
-880.000000E-3	N	-1.249322E-06	N	-1.261738E-06
-900.000000E-3	N	-1.249453E-06	N	-1.261818E-06
-920.000000E-3	N	-1.249583E-06	N	-1.262016E-06
-940.000000E-3	N	-1.249688E-06	N	-1.262096E-06
-960.000000E-3	N	-1.249999E-06	N	-1.262205E-06
-980.000000E-3	N	-1.250138E-06	N	-1.262394E-06
-1.000000E+0	N	-1.250243E-06	N	-1.262617E-06
-1.020000E+0	N	-1.250357E-06	N	-1.262655E-06
-1.040000E+0	N	-1.250378E-06	N	-1.262874E-06
-1.060000E+0	N	-1.250395E-06	N	-1.262895E-06
-1.080000E+0	N	-1.250689E-06	N	-1.262811E-06
-1.100000E+0	N	-1.250756E-06	N	-1.262987E-06
-1.120000E+0	N	-1.250815E-06	N	-1.263261E-06
-1.140000E+0	N	-1.250883E-06	N	-1.263139E-06
-1.160000E+0	N	-1.251000E-06	N	-1.263412E-06
-1.180000E+0	N	-1.251114E-06	N	-1.263429E-06
-1.200000E+0	N	-1.251265E-06	N	-1.263488E-06


ID_VD

ID

VD	VG=0.000E+0	VG=-600.000E-3	VG=-1.200E+0	
0.000000E+0	N	 7.136493E-12	N	-17.11640E-09	N	 10.30478E-09
-20.000000E-3	N	-652.9847E-12	N	-774.6539E-09	N	-1.448861E-06
-40.000000E-3	N	-963.7859E-12	N	-1.521180E-06	N	-2.892650E-06
-60.000000E-3	N	-1.123307E-09	N	-2.229433E-06	N	-4.307601E-06
-80.000000E-3	N	-1.198687E-09	N	-2.901930E-06	N	-5.701419E-06
-100.000000E-3	N	-1.243159E-09	N	-3.538183E-06	N	-7.072843E-06
-120.000000E-3	N	-1.253586E-09	N	-4.137415E-06	N	-8.421715E-06
-140.000000E-3	N	-1.269105E-09	N	-4.699181E-06	N	-9.747586E-06
-160.000000E-3	N	-1.273049E-09	N	-5.222888E-06	N	-11.04723E-06
-180.000000E-3	N	-1.281589E-09	N	-5.707717E-06	N	-12.32631E-06
-200.000000E-3	N	-1.284999E-09	N	-6.152905E-06	N	-13.58223E-06
-220.000000E-3	N	-1.287505E-09	N	-6.558284E-06	N	-14.80885E-06
-240.000000E-3	N	-1.293000E-09	N	-6.922302E-06	N	-16.01521E-06
-260.000000E-3	N	-1.296305E-09	N	-7.244358E-06	N	-17.19584E-06
-280.000000E-3	N	-1.299168E-09	N	-7.524351E-06	N	-18.35214E-06
-300.000000E-3	N	-1.303579E-09	N	-7.761247E-06	N	-19.48158E-06
-320.000000E-3	N	-1.306585E-09	N	-7.956109E-06	N	-20.58593E-06
-340.000000E-3	N	-1.308469E-09	N	-8.109346E-06	N	-21.66316E-06
-360.000000E-3	N	-1.312842E-09	N	-8.225692E-06	N	-22.71223E-06
-380.000000E-3	N	-1.313439E-09	N	-8.310683E-06	N	-23.73402E-06
-400.000000E-3	N	-1.320137E-09	N	-8.371196E-06	N	-24.72799E-06
-420.000000E-3	N	-1.317955E-09	N	-8.414250E-06	N	-25.69316E-06
-440.000000E-3	N	-1.328382E-09	N	-8.446458E-06	N	-26.62988E-06
-460.000000E-3	N	-1.323332E-09	N	-8.471442E-06	N	-27.53683E-06
-480.000000E-3	N	-1.331523E-09	N	-8.491574E-06	N	-28.41449E-06
-500.000000E-3	N	-1.328025E-09	N	-8.509010E-06	N	-29.26037E-06
-520.000000E-3	N	-1.334613E-09	N	-8.524841E-06	N	-30.07519E-06
-540.000000E-3	N	-1.334403E-09	N	-8.538935E-06	N	-30.85924E-06
-560.000000E-3	N	-1.333915E-09	N	-8.552267E-06	N	-31.60983E-06
-580.000000E-3	N	-1.339091E-09	N	-8.564204E-06	N	-32.32655E-06
-600.000000E-3	N	-1.340088E-09	N	-8.575641E-06	N	-33.01165E-06
-620.000000E-3	N	-1.342665E-09	N	-8.586686E-06	N	-33.66224E-06
-640.000000E-3	N	-1.343914E-09	N	-8.597159E-06	N	-34.27706E-06
-660.000000E-3	N	-1.346811E-09	N	-8.607460E-06	N	-34.85667E-06
-680.000000E-3	N	-1.347466E-09	N	-8.616809E-06	N	-35.39886E-06
-700.000000E-3	N	-1.350561E-09	N	-8.626038E-06	N	-35.90439E-06
-720.000000E-3	N	-1.349317E-09	N	-8.635044E-06	N	-36.37050E-06
-740.000000E-3	N	-1.355039E-09	N	-8.643508E-06	N	-36.79856E-06
-760.000000E-3	N	-1.351373E-09	N	-8.651492E-06	N	-37.18658E-06
-780.000000E-3	N	-1.360505E-09	N	-8.659410E-06	N	-37.53079E-06
-800.000000E-3	N	-1.357545E-09	N	-8.667036E-06	N	-37.83620E-06
-820.000000E-3	N	-1.361548E-09	N	-8.674617E-06	N	-38.09837E-06
-840.000000E-3	N	-1.360110E-09	N	-8.682013E-06	N	-38.32060E-06
-860.000000E-3	N	-1.365925E-09	N	-8.688837E-06	N	-38.50353E-06
-880.000000E-3	N	-1.366858E-09	N	-8.695606E-06	N	-38.65203E-06
-900.000000E-3	N	-1.366989E-09	N	-8.702086E-06	N	-38.77040E-06
-920.000000E-3	N	-1.371286E-09	N	-8.708486E-06	N	-38.86497E-06
-940.000000E-3	N	-1.372059E-09	N	-8.714549E-06	N	-38.94114E-06
-960.000000E-3	N	-1.376226E-09	N	-8.720893E-06	N	-39.00209E-06
-980.000000E-3	N	-1.376306E-09	N	-8.726805E-06	N	-39.05336E-06
-1.000000E+0	N	-1.381579E-09	N	-8.732182E-06	N	-39.09872E-06
-1.020000E+0	N	-1.382499E-09	N	-8.737918E-06	N	-39.13697E-06
-1.040000E+0	N	-1.386998E-09	N	-8.743395E-06	N	-39.17220E-06
-1.060000E+0	N	-1.386683E-09	N	-8.748501E-06	N	-39.20389E-06
-1.080000E+0	N	-1.393806E-09	N	-8.753664E-06	N	-39.23424E-06
-1.100000E+0	N	-1.389618E-09	N	-8.758794E-06	N	-39.26173E-06
-1.120000E+0	N	-1.398746E-09	N	-8.763616E-06	N	-39.28846E-06
-1.140000E+0	N	-1.396337E-09	N	-8.768581E-06	N	-39.31440E-06
-1.160000E+0	N	-1.402227E-09	N	-8.773145E-06	N	-39.33701E-06
-1.180000E+0	N	-1.401079E-09	N	-8.777614E-06	N	-39.36063E-06
-1.200000E+0	N	-1.404977E-09	N	-8.782104E-06	N	-39.38346E-06


IG

VD	VG=0.000E+0	VG=-600.000E-3	VG=-1.200E+0	
0.000000E+0	N	 6.556318E-12	N	-539.0236E-12	N	-7.724791E-09
